gml_parent_id,gml_id,the_geom,bw_belegung_id,bw_begehren_id,bw_art_des_begehrens_bez,bw_bezeichnung,bw_belastungs_art_bez,bw_datum,mapbs_bw_detail_belegung,mapbs_bw_kalender_strasseplatz,bw_belegungs_art_bez
,BW_Allmendbewilligungen_OeffentlicheBaustelle.99985,,269984,9082121,Permanente bauliche Anlagen,Korrektur Schifffahrtsrinne,bauliche Nutzung,16.10.2017 - 28.02.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=269984&month=9&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=835&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.112197,,256321,9080049,Permanente bauliche Anlagen,"Koordinierter Werkleitung- Gleis- und Strassenbau, MP-Nr. 609",bauliche Nutzung,16.01.2017 - 30.11.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=256321&month=0&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=1220&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.104946,,216237,9072668,Permanente bauliche Anlagen,"Koordinierter Werkleitungsbau mit Oberflächengestaltung, MP 2179",bauliche Nutzung,14.08.2017 - 31.01.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=216237&month=7&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=1826&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.99978,,269984,9082121,Permanente bauliche Anlagen,Korrektur Schifffahrtsrinne,bauliche Nutzung,16.10.2017 - 28.02.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=269984&month=9&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=835&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.103831,,201616,9070070,Permanente bauliche Anlagen,"Koordinierter Leitungs, Gleis und Strassenbau  inkl. Baumfällungen, Bau-Los 3  kantonal erfasstes Projekt/Massnahmennr: 325",bauliche Nutzung,10.01.2017 - 31.12.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=201616&month=0&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=1106&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.99982,,269984,9082121,Permanente bauliche Anlagen,Korrektur Schifffahrtsrinne,bauliche Nutzung,16.10.2017 - 28.02.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=269984&month=9&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=835&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.110637,,347221,9092454,Permanente bauliche Anlagen,"Gleis-, Werkleitungs- und Strassenbau. MP 1372",bauliche Nutzung,03.04.2017 - 31.12.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=347221&month=3&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=854&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.70076,,280200,9083461,Permanente bauliche Anlagen,"Strassenbau, ASTRA N2, EP OT Erhaltungsprojekt Osttangente Basel  BRÜCKE Aufgeständerte Schwarzwaldallee inkl. SM bei Rampen, MP 2244",bauliche Nutzung,04.09.2017 - 27.03.2020,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=280200&month=8&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=931&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.99983,,269984,9082121,Permanente bauliche Anlagen,Korrektur Schifffahrtsrinne,bauliche Nutzung,16.10.2017 - 28.02.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=269984&month=9&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=835&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
,BW_Allmendbewilligungen_OeffentlicheBaustelle.99977,,269984,9082121,Permanente bauliche Anlagen,Korrektur Schifffahrtsrinne,bauliche Nutzung,16.10.2017 - 28.02.2018,"<a href=""http://www.tiefbauamt.bs.ch/belegungsDetails?albe_id=269984&month=9&year=2017&output=nocache"" target=""_blank"">Detailansicht Belegung</a>","<a href=""http://www.tiefbauamt.bs.ch/oeffentlicher-raum/nutzung-des-oeffentlichen-raumes/was-passiert-wo-und-wann/strassenauswahl.html?strasseid=835&output=nocache"" target=""_blank"">Kalenderansicht Strasse/Platz</a>",Baustelle
